hours,pass
5.94,1
0.06,0
2.93,0
1.59,0
8.93,1
4.94,0
8.17,1
8.81,1
2.77,0
2.99,0
2.72,0
5.37,1
0.57,0
0.36,0
4.94,1
0.36,0
3.95,0
3.31,0
4.63,0
1.48,0
0.63,0
1.94,0
6.25,0
0.46,0
2.24,0
0.81,0
6.8,1
3.54,0
0.39,0
3.26,0
3.71,0
7.7,1
9.65,1
5.12,0
6.96,1
1.24,0
2.75,0
4.55,1
9.51,1
8.67,1
5.95,1
7.25,1
3.28,0
3.94,0
9.49,1
6.44,1
7.67,1
3.26,0
5.07,0
0.69,0
1.59,0
3.15,0
3.37,0
7.26,1
3.49,1
7.24,1
8.95,1
6.23,1
2.61,0
0.87,0
9.53,1
8.89,1
2.25,0
4.64,0
0.72,0
0.05,0
8.36,1
6.28,1
6.93,1
5.54,0
5.39,0
4.71,1
7.46,1
7.29,1
9.33,1
2.02,0
9.0,1
8.92,1
6.99,1
3.2,0
5.08,0
8.43,1
5.37,1
4.79,0
8.77,1
1.96,0
5.52,1
0.92,0
3.95,0
4.81,0
8.78,1
6.83,1
5.94,1
7.99,1
2.64,0
0.04,0
7.83,1
7.84,1
7.25,1
1.73,0
8.12,1
9.75,1
